iter	RMSE
0	74739.94567
1	72088.50565
2	69705.58098
3	67777.00098
4	65771.4018
5	63772.25873
6	61928.86348
7	60248.46723
8	58487.20326
9	56616.97619
10	54952.93382
11	53537.19823
12	51986.95543
13	50719.93473
14	49456.74031
15	48124.94292
16	46758.36446
17	45724.21028
18	44699.94537
19	43759.62818
20	42749.62367
21	41855.11795
22	40999.16045
23	40185.26455
24	39389.84139
25	38569.20265
26	37683.93655
27	36825.64929
28	36201.41918
29	35541.7115
30	34897.82345
31	34267.85103
32	33656.34874
33	33103.94098
34	32650.44189
35	32109.5027
36	31613.97525
37	31167.50466
38	30740.6817
39	30302.47838
40	29851.50267
41	29491.55246
42	29091.21843
43	28641.01184
44	28323.84352
45	28020.47877
46	27688.92121
47	27361.87506
48	27074.92138
49	26751.55212
50	26498.21726
51	26253.69213
52	25959.79919
53	25673.29673
54	25395.67958
55	25141.26448
56	24866.09689
57	24655.03993
58	24471.56905
59	24284.23797
60	24016.89838
61	23825.13717
62	23621.84677
63	23412.0423
64	23252.70738
65	23083.0663
66	22885.01029
67	22729.22006
68	22547.43162
69	22377.07975
70	22235.25119
71	22068.26745
72	21877.69228
73	21725.86832
74	21640.27347
75	21515.47674
76	21333.24202
77	21180.92725
78	21080.18122
79	20986.37935
80	20871.45843
81	20736.06651
82	20610.80026
83	20493.71315
84	20373.24285
85	20244.26171
86	20154.5895
87	20074.01053
88	20000.29599
89	19876.46228
90	19771.07892
91	19676.85871
92	19596.92381
93	19492.54672
94	19467.4642
95	19375.77055
96	19252.17964
97	19153.0402
98	19068.47797
99	18987.0109
100	18889.74297
101	18812.80456
102	18695.05001
103	18605.07628
104	18536.84803
105	18445.80806
106	18358.8933
107	18257.62586
108	18196.12565
109	18128.94985
110	18045.07146
111	17960.41214
112	17892.28862
113	17829.18831
114	17757.74675
115	17730.82247
116	17662.61993
117	17580.38614
118	17523.8035
119	17456.06795
120	17371.25215
121	17298.59493
122	17219.04507
123	17161.08086
124	17103.30183
125	17037.16093
126	16982.68012
127	16932.3354
128	16873.65851
129	16827.49153
130	16769.76613
131	16759.24133
132	16736.53569
133	16704.74432
134	16660.63565
135	16604.91647
136	16546.06221
137	16487.02978
138	16437.85406
139	16401.70987
140	16350.18496
141	16283.58336
142	16253.30942
143	16190.39617
144	16181.30284
145	16139.13622
146	16084.41289
147	16047.1326
148	16033.87892
149	15988.96189
150	15980.33047
151	15935.1398
152	15912.46959
153	15887.4977
154	15848.24652
155	15836.53196
156	15793.71256
157	15739.20807
158	15709.64076
159	15658.78184
160	15634.75891
161	15616.70067
162	15567.27634
163	15522.38351
164	15480.4554
165	15437.37777
166	15403.00254
167	15375.7201
168	15368.91452
169	15321.02356
170	15266.54045
171	15245.7954
172	15235.18827
173	15186.41188
174	15177.53505
175	15142.13558
176	15082.74908
177	15051.10882
178	15004.74744
179	14961.42638
180	14921.23736
181	14862.44995
182	14819.92048
183	14773.51829
184	14762.47846
185	14728.83426
186	14691.45054
187	14662.2796
188	14614.40781
189	14561.78337
190	14524.2751
191	14494.27691
192	14443.12205
193	14394.82854
194	14360.48337
195	14322.95383
196	14285.51192
197	14271.60541
198	14225.2363
199	14171.6524
200	14145.893
201	14097.53438
202	14065.0895
203	14023.79504
204	13986.58966
205	13943.03062
206	13906.08509
207	13882.74759
208	13845.12593
209	13808.27879
210	13770.62704
211	13735.6592
212	13698.62824
213	13678.85073
214	13640.59235
215	13606.99332
216	13592.88593
217	13561.61297
218	13519.31445
219	13489.92613
220	13462.67394
221	13429.17257
222	13404.09676
223	13371.57212
224	13331.21477
225	13319.5231
226	13290.16189
227	13262.09058
228	13245.38334
229	13216.73215
230	13189.95715
231	13153.95002
232	13128.51929
233	13104.03231
234	13081.05663
235	13056.25022
236	13022.20166
237	12980.5771
238	12949.05316
239	12914.46978
240	12887.72284
241	12862.0495
242	12841.88207
243	12805.89088
244	12775.31061
245	12754.54834
246	12733.5034
247	12698.42333
248	12670.87161
249	12644.68813
250	12605.20569
251	12575.35668
252	12555.35177
253	12523.12866
254	12497.50647
255	12468.49495
256	12440.32044
257	12401.57885
258	12375.38341
259	12362.01456
260	12318.98659
261	12300.6463
262	12286.6668
263	12248.86473
264	12225.94648
265	12197.00876
266	12172.6217
267	12146.40739
268	12119.64463
269	12089.55896
270	12067.69623
271	12052.61384
272	12023.6787
273	11994.78651
274	11968.33435
275	11947.0543
276	11935.71937
277	11900.78934
278	11871.94748
279	11850.45518
280	11831.43798
281	11818.52726
282	11799.67539
283	11766.44188
284	11742.80672
285	11716.16019
286	11694.56505
287	11672.21061
288	11651.20222
289	11625.12
290	11614.83821
291	11592.51616
292	11572.63949
293	11553.11765
294	11534.80114
295	11511.19605
296	11490.50855
297	11466.44664
298	11429.71125
299	11414.73419
300	11397.89207
301	11370.68366
302	11368.12016
303	11341.9893
304	11306.69825
305	11286.18493
306	11244.38852
307	11221.377
308	11209.28112
309	11199.32227
310	11166.46045
311	11135.4604
312	11106.64037
313	11096.07585
314	11071.23301
315	11048.0023
316	11036.26281
317	11013.08798
318	10998.79736
319	10977.2546
320	10959.70438
321	10945.89186
322	10921.65427
323	10915.13298
324	10898.23426
325	10877.95271
326	10850.40832
327	10816.22152
328	10794.31696
329	10788.7113
330	10763.11978
331	10723.73371
332	10706.33579
333	10687.82111
334	10686.03209
335	10666.86847
336	10664.96989
337	10639.16295
338	10610.03656
339	10584.80482
340	10577.83695
341	10554.85502
342	10534.31713
343	10516.62335
344	10494.13627
345	10482.55528
346	10465.32617
347	10440.00918
348	10432.49198
349	10415.34802
350	10392.25798
351	10356.22281
352	10333.48119
353	10310.96143
354	10296.44831
355	10276.98069
356	10256.92158
357	10240.14405
358	10222.99283
359	10204.76446
360	10190.27533
361	10177.02492
362	10164.16181
363	10140.46501
364	10123.37417
365	10092.90615
366	10077.52491
367	10062.73026
368	10050.33349
369	10032.88093
370	10011.57386
371	9992.467032
372	9966.109545
373	9943.211835
374	9920.085197
375	9895.903708
376	9879.341584
377	9871.544288
378	9860.387656
379	9834.842495
380	9828.425275
381	9807.622151
382	9787.514811
383	9766.561226
384	9749.339466
385	9730.834348
386	9727.044394
387	9706.765394
388	9680.818765
389	9661.757052
390	9640.140305
391	9616.673167
392	9592.529177
393	9573.980644
394	9556.896963
395	9535.124747
396	9514.217583
397	9486.640554
398	9475.424685
399	9452.847909
400	9437.532237
401	9416.397192
402	9395.918228
403	9373.740303
404	9351.916859
405	9337.589192
406	9322.322815
407	9304.710297
408	9290.091643
409	9271.912506
410	9250.335949
411	9237.422311
412	9228.345574
413	9212.455347
414	9202.737914
415	9182.761128
416	9165.604374
417	9152.755586
418	9140.351012
419	9129.297828
420	9111.047664
421	9092.487232
422	9073.55712
423	9061.803407
424	9058.784683
425	9037.112187
426	9026.032005
427	9008.498073
428	8996.199268
429	8984.74927
430	8963.251294
431	8944.806088
432	8933.149873
433	8923.633159
434	8911.686274
435	8902.023951
436	8886.722181
437	8877.667422
438	8859.758973
439	8845.358765
440	8829.602492
441	8819.763911
442	8808.310028
443	8792.909571
444	8780.751903
445	8758.385509
446	8743.710832
447	8728.512119
448	8716.822912
449	8709.497206
450	8692.532136
451	8668.444441
452	8659.433965
453	8656.9861
454	8646.255603
455	8638.086668
456	8621.188028
457	8601.489432
458	8579.233214
459	8559.476212
460	8546.741408
461	8539.032737
462	8524.234882
463	8519.788369
464	8507.524982
465	8500.449831
466	8480.03331
467	8469.103138
468	8460.162301
469	8456.756337
470	8446.618856
471	8431.003588
472	8417.166213
473	8406.944631
474	8396.479748
475	8377.095001
476	8363.316667
477	8345.175017
478	8334.541716
479	8318.229162
480	8301.215087
481	8283.220219
482	8271.74965
483	8254.035594
484	8236.974367
485	8215.795922
486	8211.655435
487	8196.714322
488	8174.729298
489	8158.707325
490	8149.710348
491	8132.209171
492	8114.349229
493	8092.579906
494	8085.305732
495	8071.179826
496	8059.89123
497	8043.307535
498	8039.011692
499	8025.317108
500	8015.281571
501	8006.356902
502	7998.677772
503	7989.869706
504	7970.903869
505	7959.899699
506	7956.857335
507	7942.853034
508	7933.169587
509	7929.234953
510	7916.323304
511	7902.953499
512	7892.804346
513	7882.242735
514	7867.954996
515	7850.342902
516	7839.951783
517	7829.89708
518	7816.917277
519	7806.874582
520	7794.461008
521	7778.085263
522	7769.229677
523	7755.404899
524	7748.593073
525	7739.241555
526	7722.041463
527	7713.08906
528	7697.416279
529	7684.586257
530	7674.000196
531	7652.545504
532	7641.507904
533	7625.722303
534	7615.056085
535	7605.799522
536	7600.977014
537	7593.69941
538	7577.512108
539	7565.739194
540	7551.869828
541	7542.222893
542	7528.667431
543	7520.436367
544	7506.718769
545	7499.743475
546	7486.600662
547	7480.987125
548	7468.69356
549	7466.542118
550	7456.205247
551	7443.994127
552	7436.574969
553	7425.883591
554	7415.381341
555	7400.999546
556	7395.753321
557	7389.206004
558	7380.174781
559	7374.997628
560	7367.39961
561	7357.282429
562	7339.970694
563	7324.55969
564	7309.736493
565	7301.690983
566	7291.672758
567	7279.425153
568	7265.943754
569	7257.389148
570	7246.520694
571	7235.291945
572	7228.566252
