iter	Passed	Remaining
0	2	2932
1	5	2648
2	7	2610
3	10	2551
4	12	2525
5	14	2420
6	16	2331
7	18	2286
8	20	2264
9	23	2277
10	25	2251
11	26	2211
12	28	2184
13	30	2162
14	32	2140
15	34	2120
16	36	2101
17	38	2088
18	40	2074
19	42	2061
20	43	2049
21	45	2037
22	47	2023
23	49	2028
24	51	2026
25	53	2017
26	55	2010
27	57	2001
28	59	1992
29	61	1983
30	63	1978
31	65	1971
32	67	1964
33	68	1959
34	70	1952
35	72	1944
36	74	1937
37	76	1933
38	78	1933
39	80	1927
40	82	1923
41	84	1917
42	85	1912
43	87	1908
44	89	1903
45	91	1898
46	93	1894
47	95	1892
48	97	1889
49	99	1884
50	101	1881
51	103	1882
52	105	1878
53	107	1875
54	108	1871
55	110	1867
56	112	1864
57	114	1861
58	116	1856
59	118	1852
60	120	1848
61	121	1845
62	123	1841
63	125	1838
64	127	1834
65	129	1831
66	131	1828
67	133	1824
68	135	1824
69	137	1822
70	139	1819
71	141	1821
72	143	1819
73	145	1817
74	147	1815
75	149	1811
76	150	1809
77	152	1805
78	154	1803
79	156	1802
80	158	1799
81	160	1796
82	162	1793
83	164	1790
84	166	1791
85	168	1791
86	170	1789
87	172	1786
88	174	1783
89	176	1781
90	177	1777
91	179	1774
92	181	1771
93	183	1768
94	185	1766
95	187	1764
96	189	1764
97	191	1761
98	193	1759
99	195	1756
100	197	1754
101	199	1752
102	200	1749
103	202	1746
104	204	1744
105	206	1742
106	208	1739
107	210	1736
108	212	1733
109	213	1730
110	215	1728
111	217	1726
112	219	1723
113	221	1721
114	223	1718
115	225	1716
116	227	1714
117	228	1711
118	230	1709
119	232	1708
120	234	1705
121	236	1703
122	238	1700
123	240	1697
124	242	1695
125	244	1693
126	246	1692
127	248	1690
128	250	1688
129	251	1685
130	253	1683
131	255	1681
132	257	1678
133	259	1675
134	261	1673
135	263	1671
136	264	1668
137	266	1666
138	268	1663
139	270	1662
140	272	1660
141	274	1658
142	275	1652
143	277	1650
144	279	1648
145	281	1646
146	283	1644
147	285	1642
148	287	1639
149	288	1636
150	290	1634
151	292	1632
152	294	1629
153	296	1627
154	298	1626
155	300	1624
156	302	1622
157	303	1619
158	305	1618
159	308	1617
160	309	1615
161	311	1613
162	313	1611
163	315	1609
164	317	1607
165	319	1605
166	321	1603
167	323	1600
168	325	1598
169	326	1595
170	328	1593
171	330	1592
172	331	1586
173	333	1584
174	335	1581
175	337	1580
176	339	1579
177	341	1577
178	343	1575
179	345	1574
180	347	1572
181	349	1570
182	351	1568
183	353	1566
184	354	1563
185	356	1561
186	358	1559
187	360	1557
188	362	1556
189	364	1553
190	366	1551
191	368	1550
192	370	1548
193	372	1546
194	374	1544
195	376	1542
196	378	1541
197	379	1538
198	381	1537
199	383	1535
200	385	1533
201	387	1530
202	389	1529
203	391	1527
204	393	1524
205	394	1522
206	397	1521
207	399	1519
208	401	1518
209	403	1517
210	405	1515
211	407	1514
212	409	1512
213	411	1511
214	413	1510
215	415	1509
216	417	1506
217	419	1504
218	421	1502
219	423	1500
220	425	1498
221	427	1497
222	429	1495
223	431	1495
224	433	1493
225	435	1491
226	437	1490
227	439	1487
228	441	1485
229	443	1484
230	445	1482
231	447	1481
232	449	1479
233	451	1478
234	453	1477
235	456	1476
236	458	1475
237	460	1473
238	462	1471
239	464	1470
240	466	1469
241	468	1467
242	470	1465
243	472	1463
244	474	1461
245	476	1459
246	477	1456
247	479	1454
248	481	1452
249	483	1450
250	485	1448
251	487	1446
252	489	1444
253	491	1443
254	493	1441
255	495	1439
256	497	1437
257	499	1435
258	500	1432
259	502	1430
260	504	1428
261	506	1426
262	508	1425
263	510	1423
264	512	1421
265	514	1419
266	516	1416
267	518	1414
268	519	1412
269	521	1410
270	523	1408
271	525	1406
272	527	1404
273	529	1402
274	531	1400
275	532	1397
276	534	1395
277	536	1393
278	538	1391
279	540	1389
280	542	1387
281	544	1385
282	545	1382
283	547	1381
284	550	1379
285	551	1377
286	553	1375
287	555	1373
288	557	1371
289	559	1369
290	561	1367
291	563	1365
292	565	1363
293	567	1361
294	568	1359
295	570	1357
296	572	1355
297	574	1353
298	576	1351
299	578	1349
300	580	1347
301	582	1345
302	584	1343
303	585	1341
304	587	1339
305	589	1337
306	591	1335
307	593	1333
308	595	1331
309	597	1329
310	599	1327
311	600	1325
312	602	1322
313	604	1321
314	606	1318
315	608	1316
316	610	1314
317	612	1312
318	613	1310
319	615	1308
320	617	1306
321	619	1303
322	621	1301
323	622	1299
324	624	1297
325	626	1295
326	628	1293
327	630	1291
328	632	1289
329	634	1287
330	636	1285
331	638	1284
332	640	1282
333	642	1280
334	644	1278
335	646	1276
336	647	1274
337	649	1272
338	652	1271
339	654	1269
340	655	1267
341	657	1265
342	659	1263
343	661	1261
344	663	1259
345	665	1257
346	667	1255
347	668	1253
348	670	1251
349	672	1249
350	674	1246
351	676	1244
352	677	1242
353	679	1240
354	681	1238
355	683	1236
356	685	1234
357	687	1232
358	689	1230
359	690	1228
360	693	1226
361	695	1225
362	696	1223
363	698	1220
364	700	1219
365	702	1217
366	704	1215
367	706	1213
368	708	1211
369	710	1209
370	712	1207
371	714	1205
372	716	1203
373	718	1202
374	720	1200
375	722	1198
376	723	1196
377	725	1194
378	727	1192
379	729	1190
380	731	1188
381	733	1186
382	735	1185
383	737	1183
384	739	1181
385	741	1179
386	743	1176
387	744	1174
388	746	1173
389	748	1171
390	750	1169
391	752	1167
392	754	1165
393	756	1162
394	757	1160
395	759	1158
396	761	1156
397	763	1154
398	765	1152
399	767	1150
400	769	1149
401	771	1147
402	772	1145
403	774	1143
404	776	1141
405	778	1139
406	780	1137
407	782	1135
408	784	1133
409	786	1131
410	788	1129
411	790	1127
412	791	1125
413	793	1123
414	795	1121
415	797	1119
416	799	1117
417	801	1115
418	802	1113
419	804	1111
420	807	1110
421	809	1108
422	811	1106
423	813	1105
424	815	1103
425	817	1101
426	819	1099
427	822	1098
428	824	1097
429	826	1095
430	828	1093
431	830	1092
432	832	1090
433	834	1088
434	837	1087
435	839	1085
436	841	1083
437	843	1082
438	845	1080
439	847	1078
440	849	1076
441	851	1074
442	853	1073
443	855	1071
444	857	1069
445	859	1067
446	861	1065
447	863	1063
448	865	1062
449	867	1060
450	869	1057
451	870	1055
452	872	1053
453	874	1051
454	876	1049
455	878	1047
456	880	1046
457	882	1044
458	884	1042
459	886	1040
460	887	1038
461	889	1036
462	891	1034
463	893	1032
464	895	1030
465	897	1028
466	899	1026
467	901	1024
468	903	1022
469	905	1020
470	906	1018
471	908	1016
472	910	1014
473	912	1012
474	914	1010
475	916	1008
476	918	1006
477	920	1004
478	921	1002
479	923	1000
480	925	998
481	927	996
482	929	994
483	931	992
484	933	990
485	935	988
486	936	986
487	938	984
488	940	982
489	942	981
490	944	979
491	946	977
492	948	975
493	950	973
494	952	971
495	954	969
496	956	967
497	958	966
498	960	964
499	962	962
500	963	960
501	965	958
502	967	956
503	969	954
504	971	952
505	973	950
506	975	948
507	976	946
508	979	944
509	980	942
510	982	940
511	984	938
512	986	936
513	988	934
514	990	932
515	992	930
516	994	928
517	995	926
518	997	924
519	999	922
520	1001	920
521	1003	918
522	1005	916
523	1007	914
524	1008	912
525	1010	910
526	1012	908
527	1014	906
528	1016	904
529	1018	903
530	1020	901
531	1022	899
532	1023	897
533	1026	895
534	1027	893
535	1029	891
536	1031	889
537	1033	887
538	1035	885
539	1037	883
540	1039	881
541	1040	879
542	1042	877
543	1044	875
544	1046	873
545	1048	871
546	1050	869
547	1052	867
548	1054	866
549	1056	864
550	1057	862
551	1060	860
552	1061	858
553	1063	856
554	1065	854
555	1067	852
556	1069	850
557	1070	848
558	1072	846
559	1074	844
560	1076	842
561	1078	840
562	1080	838
563	1082	836
564	1084	834
565	1085	832
566	1087	830
567	1089	828
568	1091	826
569	1093	824
570	1095	822
571	1097	820
572	1099	819
573	1100	817
574	1102	815
575	1104	813
576	1106	811
577	1108	809
578	1110	807
579	1112	805
580	1114	803
581	1116	801
582	1117	799
583	1119	797
584	1121	795
585	1123	793
586	1125	791
587	1127	789
588	1129	787
589	1130	785
590	1132	783
591	1134	782
592	1136	780
593	1138	778
594	1140	776
595	1142	774
596	1144	772
597	1146	770
598	1148	768
599	1149	766
600	1151	764
601	1153	762
602	1155	761
603	1157	759
604	1160	757
605	1162	755
606	1164	753
607	1166	751
608	1167	749
609	1169	747
610	1171	745
611	1173	744
612	1175	742
613	1177	740
614	1179	738
615	1180	736
616	1182	734
617	1184	732
618	1186	730
619	1188	728
620	1190	726
621	1192	724
622	1193	722
623	1195	720
624	1197	718
625	1199	716
626	1201	714
627	1203	712
628	1205	710
629	1207	709
630	1209	707
631	1210	705
632	1212	703
633	1214	701
634	1216	699
635	1218	697
636	1220	695
637	1222	693
638	1224	691
639	1226	689
640	1228	687
641	1230	686
642	1232	684
643	1234	682
644	1235	680
645	1237	678
646	1239	676
647	1241	674
648	1243	672
649	1245	670
650	1247	668
651	1249	666
652	1250	664
653	1253	662
654	1254	661
655	1256	659
656	1258	657
657	1260	655
658	1262	653
659	1264	651
660	1266	649
661	1268	647
662	1270	645
663	1272	643
664	1273	641
665	1275	639
666	1277	637
667	1279	635
668	1281	633
669	1283	631
670	1284	629
671	1286	628
672	1288	626
673	1290	624
674	1292	622
675	1294	620
676	1295	618
677	1297	616
678	1299	614
679	1301	612
680	1303	610
681	1305	608
682	1307	606
683	1309	604
684	1311	602
685	1312	600
686	1314	599
687	1316	597
688	1318	595
689	1320	593
690	1322	591
691	1324	589
692	1326	587
693	1328	585
694	1330	583
695	1332	581
696	1333	579
697	1335	577
698	1337	576
699	1339	574
700	1341	572
701	1343	570
702	1345	568
703	1347	566
704	1349	564
705	1351	562
706	1353	560
707	1355	558
708	1356	556
709	1358	554
710	1360	553
711	1362	551
712	1364	549
713	1366	547
714	1367	545
715	1369	543
716	1371	541
717	1373	539
718	1375	537
719	1377	535
720	1379	533
721	1381	531
722	1383	529
723	1384	527
724	1386	526
725	1388	524
726	1390	522
727	1392	520
728	1394	518
729	1395	516
730	1397	514
731	1399	512
732	1401	510
733	1403	508
734	1405	506
735	1407	504
736	1409	502
737	1411	500
738	1412	498
739	1414	497
740	1416	495
741	1418	493
742	1420	491
743	1422	489
744	1424	487
745	1426	485
746	1427	483
747	1429	481
748	1431	479
749	1433	477
750	1435	475
751	1437	473
752	1439	472
753	1440	470
754	1442	468
755	1444	466
756	1446	464
757	1448	462
758	1450	460
759	1452	458
760	1453	456
761	1455	454
762	1457	452
763	1459	450
764	1461	448
765	1463	447
766	1465	445
767	1467	443
768	1469	441
769	1470	439
770	1472	437
771	1474	435
772	1476	433
773	1478	431
774	1480	429
775	1482	427
776	1484	426
777	1486	424
778	1488	422
779	1490	420
780	1492	418
781	1493	416
782	1495	414
783	1497	412
784	1499	410
785	1501	408
786	1503	406
787	1504	404
788	1506	402
789	1508	401
790	1510	399
791	1512	397
792	1514	395
793	1516	393
794	1518	391
795	1519	389
796	1521	387
797	1523	385
798	1525	383
799	1527	381
800	1529	379
801	1531	378
802	1533	376
803	1534	374
804	1536	372
805	1538	370
806	1540	368
807	1542	366
808	1544	364
809	1545	362
810	1547	360
811	1549	358
812	1551	356
813	1553	354
814	1555	353
815	1556	351
816	1558	349
817	1560	347
818	1562	345
819	1564	343
820	1566	341
821	1568	339
822	1570	337
823	1572	335
824	1574	333
825	1575	331
826	1578	330
827	1580	328
828	1582	326
829	1584	324
830	1585	322
831	1587	320
832	1589	318
833	1591	316
834	1593	314
835	1595	313
836	1597	311
837	1599	309
838	1601	307
839	1602	305
840	1604	303
841	1606	301
842	1608	299
843	1610	297
844	1612	295
845	1614	293
846	1615	291
847	1617	289
848	1619	288
849	1621	286
850	1623	284
851	1625	282
852	1627	280
853	1629	278
854	1630	276
855	1632	274
856	1634	272
857	1636	270
858	1638	268
859	1640	267
860	1641	265
861	1643	263
862	1645	261
863	1647	259
864	1649	257
865	1651	255
866	1653	253
867	1655	251
868	1657	249
869	1659	247
870	1661	246
871	1663	244
872	1664	242
873	1666	240
874	1668	238
875	1670	236
876	1672	234
877	1674	232
878	1676	230
879	1677	228
880	1679	226
881	1681	224
882	1683	223
883	1685	221
884	1687	219
885	1689	217
886	1691	215
887	1692	213
888	1694	211
889	1696	209
890	1698	207
891	1700	205
892	1702	203
893	1704	202
894	1705	200
895	1707	198
896	1709	196
897	1711	194
898	1713	192
899	1715	190
900	1717	188
901	1718	186
902	1720	184
903	1722	182
904	1724	181
905	1726	179
906	1728	177
907	1730	175
908	1732	173
909	1734	171
910	1736	169
911	1738	167
912	1740	165
913	1742	163
914	1744	162
915	1746	160
916	1747	158
917	1749	156
918	1751	154
919	1753	152
920	1755	150
921	1757	148
922	1759	146
923	1761	144
924	1763	142
925	1764	141
926	1766	139
927	1768	137
928	1770	135
929	1772	133
930	1774	131
931	1776	129
932	1778	127
933	1780	125
934	1782	123
935	1784	121
936	1786	120
937	1788	118
938	1789	116
939	1791	114
940	1793	112
941	1795	110
942	1797	108
943	1799	106
944	1800	104
945	1802	102
946	1804	101
947	1806	99
948	1808	97
949	1810	95
950	1812	93
951	1814	91
952	1816	89
953	1817	87
954	1819	85
955	1821	83
956	1823	81
957	1825	80
958	1827	78
959	1829	76
960	1831	74
961	1833	72
962	1835	70
963	1837	68
964	1839	66
965	1841	64
966	1843	62
967	1844	60
968	1846	59
969	1848	57
970	1850	55
971	1852	53
972	1854	51
973	1856	49
974	1857	47
975	1859	45
976	1861	43
977	1863	41
978	1865	40
979	1867	38
980	1869	36
981	1871	34
982	1873	32
983	1874	30
984	1876	28
985	1878	26
986	1880	24
987	1882	22
988	1884	20
989	1886	19
990	1888	17
991	1889	15
992	1891	13
993	1893	11
994	1895	9
995	1897	7
996	1899	5
997	1901	3
998	1903	1
999	1905	0
